"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"151","6","STRING Clusters","","Mixed, incl. Mitotic Spindle Checkpoint, and Mitotic sister chromatid segregation","3.22E-7","ANLN|MELK|CENPF|KIF2C|CDC20|PTTG1","256","474|516|522|510|489|483","1.04E-10","","CL:6596","1.0","0"
"51","5","STRING Clusters","#6a3d9a","Mixed, incl. Regulation of mitotic sister chromatid segregation, and Kinesin motor domain, conserved site","3.22E-7","ANLN|MELK|CENPF|KIF2C|CDC20","256","474|516|522|510|489","7.03E-11","","CL:6608","1.0","0"
"30","4","STRING Clusters","","Mixed, incl. Spindle elongation, and Polo-like kinase mediated events","1.94E-6","ANLN|MELK|CENPF|KIF2C","256","474|516|522|510","2.41E-9","","CL:6617","0.8798631326076047","0"
"1246","9","GO Biological Process","","Cell cycle","1.28E-5","ANLN|MELK|EXO1|CENPF|KIF2C|CDC20|PTTG1|MYC|PHGDH","256","474|516|498|522|510|489|483|348|477","8.19E-10","","GO:0007049","0.7536477831754778","0"
"835","8","GO Biological Process","#ffffff","Cell cycle process","1.28E-5","ANLN|MELK|CENPF|KIF2C|CDC20|PTTG1|MYC|PHGDH","256","474|516|522|510|489|483|348|477","1.59E-9","","GO:0022402","0.7536477831754778","0"
"658","7","Reactome Pathways","","Cell Cycle","3.23E-5","TYMS|EXO1|CENPF|KIF2C|CDC20|PTTG1|MYC","256","408|498|522|510|489|483|348","1.41E-8","","HSA-1640170","0.6917279390163432","0"
"275","5","UniProt Keywords","","Mitosis","1.6E-4","ANLN|CENPF|KIF2C|CDC20|PTTG1","256","474|522|510|489|483","2.41E-7","","KW-0498","0.5846881927335781","0"
"651","6","UniProt Keywords","","Cell cycle","1.8E-4","ANLN|MELK|CENPF|KIF2C|CDC20|PTTG1","256","474|516|522|510|489|483","5.37E-7","","KW-0131","0.5768090511993709","0"
"526","6","Reactome Pathways","","Cell Cycle, Mitotic","1.8E-4","TYMS|CENPF|KIF2C|CDC20|PTTG1|MYC","256","408|522|510|489|483|348","1.55E-7","","HSA-69278","0.5768090511993709","0"
"537","6","GO Biological Process","","Mitotic cell cycle process","9.1E-4","ANLN|MELK|CENPF|KIF2C|CDC20|MYC","256","474|516|522|510|489|348","1.75E-7","","GO:1903047","0.46840589912677183","0"
"128","4","GO Biological Process","","Regulation of chromosome segregation","0.0019","CENPF|KIF2C|CDC20|PTTG1","256","522|510|489|483","6.12E-7","","GO:0051983","0.41915988697527506","0"
"189","4","Reactome Pathways","","Separation of Sister Chromatids","0.0021","CENPF|KIF2C|CDC20|PTTG1","256","522|510|489|483","2.79E-6","","HSA-2467813","0.4124647654680999","0"
"35","3","GO Biological Process","","Negative regulation of mitotic sister chromatid separation","0.0028","CENPF|CDC20|PTTG1","256","522|489|483","1.08E-6","","GO:2000816","0.3932201624310851","0"
"7","2","STRING Clusters","","Mixed, incl. Activation of NIMA Kinases NEK9, NEK6, NEK7, and Mad3/Bub1 homology region 1","0.0042","CENPF|KIF2C","256","522|510","1.02E-5","","CL:6644","0.3660964178598631","0"
"272","4","Reactome Pathways","","Cell Cycle Checkpoints","0.0044","EXO1|CENPF|KIF2C|CDC20","256","498|522|510|489","1.15E-5","","HSA-69620","0.36298444349684716","0"
